Dataset,LLM,Baseline Recall@1,Baseline Mean Rank,Baseline Median Rank,Baseline MRR,New Recall@1,New Mean Rank,New Median Rank,New MRR,Improvement Rate (%),Tie Rate (%),No Degradation Rate (%),Degradation Rate (%),Mean Normalized Log Rank Ratio,Total Evaluations,Improvements,Ties,Degradations,Rank2 Improvement Rate (%),Rank2 Tie Rate (%),Rank2 No Degradation Rate (%),Rank2 Degradation Rate (%),Rank2 Absolute Amelioration (avg),Rank2 Relative Amelioration (avg),Rank2 Total,Rank3 Improvement Rate (%),Rank3 Tie Rate (%),Rank3 No Degradation Rate (%),Rank3 Degradation Rate (%),Rank3 Absolute Amelioration (avg),Rank3 Relative Amelioration (avg),Rank3 Total,Rank4 Improvement Rate (%),Rank4 Tie Rate (%),Rank4 No Degradation Rate (%),Rank4 Degradation Rate (%),Rank4 Absolute Amelioration (avg),Rank4 Relative Amelioration (avg),Rank4 Total,Rank5 Improvement Rate (%),Rank5 Tie Rate (%),Rank5 No Degradation Rate (%),Rank5 Degradation Rate (%),Rank5 Absolute Amelioration (avg),Rank5 Relative Amelioration (avg),Rank5 Total
COCO,mistral:7b,0.0,3.5,3.5,0.3208333333333333,0.27575,3.48975,3.0,0.4875589285714286,42.95,22.975,65.925,34.075,0.20033317224883615,4000,1718,919,1363,43.4,39.2,82.6,17.4,1.0,0.5,1000,41.199999999999996,28.799999999999997,70.0,30.0,1.633495145631068,0.5444983818770227,1000,39.6,18.7,58.3,41.699999999999996,2.2196969696969697,0.5549242424242424,1000,47.599999999999994,5.2,52.800000000000004,47.199999999999996,2.9600840336134455,0.592016806722689,1000
COCO,gpt-oss:20b,0.0,3.5,3.5,0.3208333333333333,0.4335,2.32825,2.0,0.6354629960317462,68.27499999999999,15.9,84.175,15.825,0.47701570525856946,4000,2731,636,633,57.599999999999994,29.2,86.8,13.200000000000001,1.0,0.5,1000,69.19999999999999,14.899999999999999,84.1,15.9,1.6473988439306357,0.5491329479768786,1000,70.5,12.2,82.69999999999999,17.299999999999997,2.321985815602837,0.5804964539007093,1000,75.8,7.3,83.1,16.900000000000002,3.0369393139841687,0.6073878627968338,1000
COCO,gemma3:4b,0.0,3.5,3.5,0.3208333333333333,0.39675,2.90175,2.0,0.5775757936507937,59.9,13.4,73.3,26.700000000000003,0.3864187475877117,4000,2396,536,1068,80.2,16.400000000000002,96.6,3.4000000000000004,1.0,0.5,1000,46.400000000000006,15.6,62.0,38.0,1.6120689655172413,0.5373563218390806,1000,51.800000000000004,11.4,63.2,36.8,2.250965250965251,0.5627413127413128,1000,61.199999999999996,10.2,71.39999999999999,28.599999999999998,2.9820261437908497,0.5964052287581699,1000
COCO,gemma3:27b,0.0,3.5,3.5,0.3208333333333333,0.26975,2.586,2.0,0.5441722222222222,54.35,30.15,84.5,15.5,0.3279899569711325,4000,2174,1206,620,22.900000000000002,68.8,91.7,8.3,1.0,0.5,1000,52.1,28.499999999999996,80.60000000000001,19.400000000000002,1.5201535508637236,0.5067178502879078,1000,70.19999999999999,11.799999999999999,82.0,18.0,2.2279202279202277,0.5569800569800569,1000,72.2,11.5,83.7,16.3,2.966759002770083,0.5933518005540166,1000
Flickr,mistral:7b,0.0,3.492207139265963,3.0,0.3214680744092509,0.23604826546003016,3.703368526897939,3.0,0.4557125699282562,40.52287581699346,19.205630970336856,59.72850678733032,40.27149321266968,0.1423860735544384,3978,1612,764,1602,44.0,35.0,79.0,21.0,1.0,0.5,1000,36.53653653653654,21.82182182182182,58.35835835835835,41.64164164164164,1.4657534246575343,0.4885844748858448,999,39.4,15.6,55.00000000000001,45.0,2.1421319796954315,0.5355329949238579,1000,42.18590398365679,4.085801838610827,46.27170582226762,53.72829417773238,2.9128329297820823,0.5825665859564164,979
Flickr,gpt-oss:20b,0.0,3.492207139265963,3.0,0.3214680744092509,0.41377576671694316,2.4155354449472095,2.0,0.619487039830177,65.38461538461539,17.320261437908496,82.70487682252387,17.295123177476118,0.44649092976685595,3978,2601,689,688,54.50000000000001,29.299999999999997,83.8,16.2,1.0,0.5,1000,65.36536536536536,18.61861861861862,83.98398398398398,16.016016016016017,1.650842266462481,0.5502807554874936,999,69.39999999999999,11.700000000000001,81.10000000000001,18.9,2.3126801152737753,0.5781700288184438,1000,72.42083758937692,9.499489274770173,81.92032686414709,18.07967313585291,3.0465444287729198,0.609308885754584,979
Flickr,gemma3:4b,0.0,3.492207139265963,3.0,0.3214680744092509,0.42860734037204623,2.830568124685772,2.0,0.597570466933212,65.10809451985922,8.094519859225741,73.20261437908496,26.797385620915033,0.4204899418595541,3978,2590,322,1066,91.3,7.000000000000001,98.3,1.7000000000000002,1.0,0.5,1000,44.44444444444444,9.90990990990991,54.35435435435435,45.645645645645644,1.5833333333333333,0.5277777777777778,999,55.400000000000006,7.3999999999999995,62.8,37.2,2.292418772563177,0.5731046931407943,1000,69.3564862104188,8.069458631256383,77.42594484167518,22.57405515832482,2.9086892488954343,0.5817378497790869,979
Flickr,gemma3:27b,0.0,3.492207139265963,3.0,0.3214680744092509,0.34087481146304677,2.5316742081447963,2.0,0.5791052175856097,57.64203117144293,26.395173453996986,84.03720462543993,15.962795374560079,0.3790008028319694,3978,2293,1050,635,36.0,54.0,90.0,10.0,1.0,0.5,1000,53.753753753753756,28.02802802802803,81.78178178178179,18.21821821821822,1.6592178770949721,0.553072625698324,999,70.39999999999999,12.2,82.6,17.4,2.3323863636363638,0.5830965909090909,1000,70.68437180796732,11.031664964249234,81.71603677221655,18.283963227783453,2.959537572254335,0.5919075144508671,979
VizWiz,mistral:7b,0.0,3.3531723750701854,3.0,0.33375912408759123,0.246771476698484,3.684727681078046,3.0,0.45173803285117153,36.21560920830994,21.42055025266704,57.63615946097698,42.36384053902302,0.12155878670831081,3562,1290,763,1509,54.95495495495496,23.523523523523522,78.47847847847848,21.52152152152152,1.0,0.5,999,24.324324324324326,27.927927927927925,52.25225225225225,47.74774774774775,1.5020576131687242,0.5006858710562414,999,29.850746268656714,21.125143513203216,50.97588978185993,49.02411021814007,2.042307692307692,0.510576923076923,871,34.34343434343434,9.37950937950938,43.722943722943725,56.27705627705628,2.9873949579831933,0.5974789915966386,693
VizWiz,gpt-oss:20b,0.0,3.3531723750701854,3.0,0.33375912408759123,0.36327905670971367,2.5468837731611456,2.0,0.5853679268825255,58.22571588994947,19.764177428411006,77.98989331836047,22.01010668163953,0.3681698340363378,3562,2074,704,784,45.44544544544545,34.53453453453454,79.97997997997997,20.02002002002002,1.0,0.5,999,59.55955955955956,18.91891891891892,78.47847847847848,21.52152152152152,1.615126050420168,0.538375350140056,999,63.375430539609646,12.169919632606199,75.54535017221585,24.454649827784156,2.3043478260869565,0.5760869565217391,871,68.25396825396825,9.235209235209235,77.48917748917748,22.51082251082251,2.9450317124735728,0.5890063424947145,693
VizWiz,gemma3:4b,0.0,3.3531723750701854,3.0,0.33375912408759123,0.3877035373385738,3.060078607523863,3.0,0.5553920126912828,56.6535654126895,9.067939359910163,65.72150477259966,34.278495227400334,0.3240007756638467,3562,2018,323,1221,87.78778778778779,6.006006006006006,93.7937937937938,6.206206206206207,1.0,0.5,999,28.82882882882883,10.91091091091091,39.73973973973974,60.26026026026025,1.5729166666666667,0.5243055555555556,999,43.62801377726751,7.807118254879448,51.43513203214696,48.56486796785304,2.1210526315789475,0.5302631578947369,871,68.25396825396825,12.40981240981241,80.66378066378066,19.336219336219337,2.8181818181818183,0.5636363636363637,693
VizWiz,gemma3:27b,0.0,3.3531723750701854,3.0,0.33375912408759123,0.3090960134755755,2.7302077484559235,2.0,0.54994518863132,49.66311061201572,28.270634475014038,77.93374508702976,22.06625491297024,0.3030007901583476,3562,1769,1007,786,32.932932932932935,52.45245245245245,85.38538538538538,14.614614614614615,1.0,0.5,999,48.548548548548546,28.628628628628626,77.17717717717719,22.822822822822822,1.6515463917525772,0.5505154639175258,999,60.84959816303099,13.777267508610791,74.6268656716418,25.37313432835821,2.322641509433962,0.5806603773584905,871,61.327561327561334,11.11111111111111,72.43867243867244,27.56132756132756,3.0141176470588236,0.6028235294117646,693
